app_id,name,release_date,game_genre,tags,summary,platform,categories,price,num_positive_review,num_negative_review,review_score_description,total_reviews,positive_ratio,metacritic_score,recommendations,is_free
6010,Indiana Jones® and the Fate of Atlantis™,08/07/09,Adventure,1990's | 2D | Action | Action-Adventure | Adventure | Atmospheric | Classic | Cult Classic | Funny | Great Soundtrack | Movie | Old School | Pixel Graphics | Point & Click | Puzzle | Remake | Retro | Singleplayer | Story Rich,The Man With The Hat Is Back In His Greatest Adventure Yet! 1939 - The eve of World War II. Nazi agents are about to get their hands on a weapon more dangerous than the atom bomb. Only Indy can stop them before they unleash the deadly secret that sank Atlantis.,windows | mac,Family Sharing | Single-player | Steam Cloud,4.79,1267.0,82.0,Very Positive,1349.0,0.939214233,,1205.0,False
63610,Riven: The Sequel to MYST,04/08/10,Adventure | Casual,1990's | Adventure | Atmospheric | Beautiful | Casual | Classic | Difficult | Exploration | FMV | First-Person | Great Soundtrack | Mystery | Nostalgia | Point & Click | Puzzle | Sci-fi | Singleplayer | Steampunk | Story Rich | Surreal,"Released in 1997 as the original sequel to Myst, one of the best-selling puzzle adventure games of all time. Prepare to enter a world &quot;torn asunder&quot; by timeless, unresolved conflicts -- a world of incomparable beauty, intrigue, and betrayal.",windows | mac,Family Sharing | Single-player,3.99,1134.0,141.0,Very Positive,1275.0,0.889411765,83.0,1179.0,False
206610,3SwitcheD,29/03/12,Casual | Indie,Casual | Indie | Match 3 | Puzzle | Singleplayer,"Be careful! This Game is addictive! You won´t find more challenges, more speed, more fun and more treasures anywhere in the known Universe!3SwitcheD™ combines classical Gameplay with fascinating new technologies. Find yourself in a new World arcade gaming.",windows | mac,Family Sharing | Single-player | Steam Cloud | Steam Trading Cards,6.99,252.0,362.0,Mixed,614.0,0.410423453,,132.0,False
235380,Blitzkrieg 3,02/06/17,Strategy,Competitive | Difficult | Early Access | Historical | Massively Multiplayer | Military | Multiplayer | PvP | RTS | Real Time Tactics | Real-Time | Real-Time with Pause | Realistic | Simulation | Singleplayer | Strategy | Tactical | Tanks | War | World War II,Blitzkrieg 3 is a WW2 RTS made for true admirers of strategic mastery! Challenge your tactical skills in historical campaigns and defeat powerful Neural Network AI in competitive matches.,windows | mac,Family Sharing | Single-player | Steam Achievements | Steam Trading Cards,7.19,3942.0,3279.0,Mixed,7221.0,0.545907769,68.0,5059.0,False
283490,IHF Handball Challenge 12,21/03/14,Sports,Sports,"With IHF Handball Challenge 12 users can experience the fascinating sport of handball on their PC. Up to five players can compete for national and international trophies in the TOYOTA Handball- Bundesliga, the Spanish Liga ASOBAL or the IHF World Cup.",windows,Co-op | Family Sharing | Multi-player | Single-player,2.09,53.0,29.0,Mixed,82.0,0.646341463,,,False
285010,Pixel Puzzles: UndeadZ,06/06/14,Action | Casual | Free To Play | Indie | Simulation | Strategy,Action | Casual | Free to Play | Gore | Indie | Puzzle | Simulation | Singleplayer | Strategy | Violent | Zombies,Pixel Puzzles: UndeadZ is a traditional style jigsaw puzzle game with top down shooter gameplay throw in to ruin your day and peaceful puzzling experience.,windows,Single-player | Steam Achievements | Steam Cloud | Steam Trading Cards,4.99,663.0,242.0,Mostly Positive,905.0,0.732596685,,152.0,False
318430,Squishy the Suicidal Pig,23/10/14,Adventure | Indie,2D | Adventure | Casual | Dark Humor | Difficult | Funny | Gore | Indie | Pixel Graphics | Platformer | Psychological Horror | Puzzle | Puzzle Platformer | Side Scroller | Singleplayer,"From the creators of Hero Siege, Squishy the Suicidal Pig is a puzzle platformer with a counterintuitive goal where you play as Squishy, a pig wearing a yellow sweater who's trying to reach his parents in animal heaven by completing his deal with the devil.You asked for a challenge, now you have it!",windows | mac,Family Sharing | Full controller support | Single-player | Steam Achievements | Steam Trading Cards,4.79,2835.0,554.0,Very Positive,3389.0,0.83652995,,2670.0,False
336210,Just Death,24/02/16,Action | Early Access | Indie,Action | Early Access | Indie,"Just Death is an “Open-World Sandbox Crime Game” set in procedurally generated cities. Just Death features an Online Open City mode, Vigilante, Bank Heist, and Gang War modes. Join in the development today!",windows,Family Sharing | Full controller support | Includes level editor | Multi-player | Single-player | Stats | Steam Achievements | Steam Cloud | Steam Leaderboards | Steam Trading Cards | Steam Workshop,11.39,15.0,18.0,Mixed,33.0,0.454545455,,,False
340320,Sinless + OST,16/12/15,Adventure | Indie | RPG,Adventure | Cyberpunk | Indie | Point & Click | RPG | Violent | Visual Novel,"&quot;Before we knew it, what we once knew as 'freedom' became nothing more but a faint and distant memory.&quot; Venture forth and discover the truth behind the seemingly perfect OmniCare society in Sinless: a unique point and click and visual novel hybrid, set in an original cyberpunk reality.",windows | mac,Family Sharing | Single-player | Steam Achievements | Steam Cloud | Steam Trading Cards,3.99,193.0,80.0,Mostly Positive,273.0,0.706959707,,165.0,False
377860,Mushihimesama,12/11/15,Action,2D | Action | Anime | Arcade | Bullet Hell | Classic | Difficult | Female Protagonist | Great Soundtrack | Local Co-Op | Score Attack | Shoot 'Em Up | Shooter | Singleplayer,"Battle huge &quot;Koju&quot; bugs in CAVE's beautiful fantasy shooter, Mushihimesama. Experience the thrill of bullet hell from the masters of the genre as you evade visually stunning shot patterns with thousands of bullets.",windows,Family Sharing | Full controller support | Multi-player | Remote Play Together | Remote Play on TV | Shared/Split Screen | Single-player | Steam Achievements | Steam Cloud | Steam Leaderboards | Steam Trading Cards,14.99,1293.0,43.0,Overwhelmingly Positive,1336.0,0.967814371,86.0,1225.0,False
